WS,WS_Sq,WS_cube
15,225,3375
17,289,4913
16,256,4096
15,225,3375
17,289,4913
21,441,9261
21,441,9261
25,625,15625
27,729,19683
18,324,5832
20,400,8000
28,784,21952
34,1156,39304
29,841,24389
31,961,29791
25,625,15625
28,784,21952
21,441,9261
26,676,17576
32,1024,32768
29,841,24389
33,1089,35937
29,841,24389
27,729,19683
29,841,24389
22,484,10648
15,225,3375
21,441,9261
23,529,12167
17,289,4913
16,256,4096
12,144,1728
15,225,3375
14,196,2744
9,81,729
9,81,729
12,144,1728
7,49,343
13,169,2197
8,64,512
11,121,1331
20,400,8000
34,1156,39304
32,1024,32768
34,1156,39304
27,729,19683
23,529,12167
18,324,5832
15,225,3375
17,289,4913
18,324,5832
14,196,2744
16,256,4096
5,25,125
3,9,27
3,9,27
9,81,729
8,64,512
12,144,1728
15,225,3375
13,169,2197
18,324,5832
20,400,8000
14,196,2744
10,100,1000
15,225,3375
1,1,1
1,1,1
11,121,1331
4,16,64
10,100,1000
12,144,1728
12,144,1728
12,144,1728
11,121,1331
12,144,1728
10,100,1000
9,81,729
2,4,8
4,16,64
2,4,8
6,36,216
5,25,125
11,121,1331
13,169,2197
14,196,2744
17,289,4913
9,81,729
12,144,1728
22,484,10648
19,361,6859
14,196,2744
18,324,5832
17,289,4913
19,361,6859
14,196,2744
13,169,2197
11,121,1331
13,169,2197
14,196,2744
16,256,4096
9,81,729
5,25,125
5,25,125
6,36,216
5,25,125
7,49,343
9,81,729
3,9,27
9,81,729
11,121,1331
5,25,125
9,81,729
14,196,2744
23,529,12167
26,676,17576
26,676,17576
39,1521,59319
40,1600,64000
35,1225,42875
41,1681,68921
43,1849,79507
40,1600,64000
43,1849,79507
45,2025,91125
55,3025,166375
52,2704,140608
61,3721,226981
54,2916,157464
53,2809,148877
48,2304,110592
46,2116,97336
45,2025,91125
49,2401,117649
44,1936,85184
40,1600,64000
39,1521,59319
35,1225,42875
30,900,27000
22,484,10648
21,441,9261
18,324,5832
18,324,5832
16,256,4096
30,900,27000
34,1156,39304
28,784,21952
32,1024,32768
28,784,21952
29,841,24389
25,625,15625
27,729,19683
37,1369,50653
37,1369,50653
45,2025,91125
47,2209,103823
42,1764,74088
47,2209,103823
38,1444,54872
45,2025,91125
41,1681,68921
49,2401,117649
45,2025,91125
50,2500,125000
49,2401,117649
52,2704,140608
47,2209,103823
49,2401,117649
53,2809,148877
55,3025,166375
47,2209,103823
45,2025,91125
50,2500,125000
35,1225,42875
36,1296,46656
48,2304,110592
46,2116,97336
52,2704,140608
48,2304,110592
43,1849,79507
44,1936,85184
44,1936,85184
45,2025,91125
47,2209,103823
36,1296,46656
31,961,29791
33,1089,35937
25,625,15625
15,225,3375
17,289,4913
3,9,27
8,64,512
15,225,3375
8,64,512
10,100,1000
1,1,1
4,16,64
13,169,2197
17,289,4913
18,324,5832
19,361,6859
23,529,12167
26,676,17576
36,1296,46656
31,961,29791
36,1296,46656
37,1369,50653
41,1681,68921
42,1764,74088
43,1849,79507
40,1600,64000
50,2500,125000
48,2304,110592
53,2809,148877
40,1600,64000
48,2304,110592
41,1681,68921
41,1681,68921
43,1849,79507
44,1936,85184
37,1369,50653
34,1156,39304
36,1296,46656
31,961,29791
28,784,21952
22,484,10648
22,484,10648
17,289,4913
12,144,1728
4,16,64
7,49,343
9,81,729
14,196,2744
14,196,2744
9,81,729
9,81,729
10,100,1000
9,81,729
9,81,729
7,49,343
7,49,343
11,121,1331
5,25,125
7,49,343
8,64,512
5,25,125
5,25,125
7,49,343
9,81,729
5,25,125
7,49,343
3,9,27
5,25,125
5,25,125
7,49,343
5,25,125
9,81,729
7,49,343
10,100,1000
10,100,1000
14,196,2744
20,400,8000
22,484,10648
23,529,12167
22,484,10648
29,841,24389
25,625,15625
